Latitude,Longitude,Area_Name,Crime_Count,Street_Light,CCTV,Police_Patrol,Isolation_Level,Time_Period
10.524322,76.217082,Round,17,Moderate,No,Rare,High,Morning
10.526166,76.211892,Round,13,Poor,Yes,Rare,High,Afternoon
10.529021,76.210533,Round,12,Good,Yes,Occasional,Medium,Evening
10.527697,76.212212,Round,11,Poor,No,Rare,High,Night
10.529128,76.213494,Round,14,Poor,No,Rare,Low,Morning
10.531094,76.2115,Round,12,Poor,Yes,Rare,Low,Afternoon
10.530998,76.217419,Round,12,Poor,Yes,Occasional,High,Afternoon
10.525664,76.21568,Round,13,Moderate,No,Frequent,Low,Morning
10.527837,76.212335,Round,15,Poor,No,Occasional,Medium,Afternoon
10.524345,76.217578,Round,13,Moderate,No,Rare,High,Evening
10.526312,76.213194,Round,14,Poor,No,Frequent,Low,Evening
10.529408,76.217577,Round,13,Moderate,Yes,Rare,Medium,Night
10.528736,76.211073,Round,14,Poor,No,Occasional,High,Evening
10.524893,76.217588,Round,14,Poor,No,Frequent,High,Morning
10.52364,76.211686,Round,12,Poor,Yes,Rare,Medium,Evening
10.52799,76.215935,Round,11,Good,Yes,Rare,Low,Morning
10.529297,76.212298,Round,14,Good,No,Frequent,Medium,Night
10.526203,76.216372,Round,15,Good,No,Frequent,Low,Afternoon
10.528861,76.214946,Round,14,Moderate,No,Occasional,High,Evening
10.524349,76.213342,Round,11,Poor,No,Rare,High,Afternoon
10.531384,76.213545,Round,12,Poor,No,Rare,Medium,Night
10.530736,76.215449,Round,13,Poor,No,Rare,Medium,Afternoon
10.528215,76.21434,Round,16,Good,No,Occasional,Medium,Morning
10.525162,76.21618,Round,11,Good,Yes,Frequent,Medium,Evening
10.531124,76.218031,Round,14,Poor,No,Rare,High,Evening
10.530919,76.213361,Round,14,Moderate,No,Rare,High,Night
10.531309,76.217224,Round,13,Poor,No,Rare,High,Evening
10.525956,76.213481,Round,12,Poor,Yes,Occasional,Medium,Afternoon
10.524956,76.214854,Round,15,Moderate,Yes,Frequent,High,Evening
10.531089,76.215968,Round,11,Poor,No,Rare,Medium,Night
10.52852,76.21832,Round,13,Moderate,No,Occasional,Medium,Night
10.524721,76.214547,Round,14,Poor,Yes,Occasional,High,Morning
10.529176,76.21602,Round,14,Poor,No,Rare,High,Evening
10.526476,76.212749,Round,14,Moderate,No,Occasional,High,Afternoon
10.530537,76.217706,Round,14,Moderate,No,Occasional,Medium,Morning
10.527691,76.214412,Round,14,Poor,Yes,Frequent,High,Afternoon
10.529216,76.216766,Round,15,Poor,No,Rare,High,Morning
10.53072,76.213104,Round,12,Poor,No,Occasional,Low,Night
10.528226,76.210688,Round,13,Moderate,Yes,Occasional,High,Morning
10.527325,76.214741,Round,14,Poor,No,Occasional,High,Night
10.523844,76.210699,Round,10,Moderate,No,Occasional,High,Night
10.530181,76.213282,Round,13,Moderate,No,Rare,High,Night
10.52976,76.212127,Round,11,Good,No,Rare,Medium,Night
10.528583,76.211083,Round,13,Moderate,No,Occasional,High,Afternoon
10.527925,76.215499,Round,12,Poor,Yes,Rare,Medium,Afternoon
10.529409,76.218207,Round,9,Good,Yes,Rare,Medium,Evening
10.529961,76.212567,Round,13,Moderate,Yes,Rare,High,Afternoon
10.527112,76.211028,Round,14,Poor,No,Rare,High,Night
10.526872,76.211786,Round,15,Moderate,No,Rare,Low,Morning
10.524851,76.212402,Round,16,Poor,No,Frequent,High,Evening
10.528882,76.212639,Round,14,Poor,No,Rare,Medium,Afternoon
10.531239,76.216303,Round,17,Moderate,No,Frequent,High,Night
10.526957,76.212382,Round,15,Good,No,Occasional,Low,Morning
10.520848,76.216463,Round South,13,Poor,No,Rare,Medium,Night
10.521793,76.211183,Round South,14,Poor,No,Frequent,Medium,Afternoon
10.521933,76.214188,Round South,12,Poor,Yes,Rare,High,Night
10.521188,76.215327,Round South,10,Poor,Yes,Frequent,Low,Evening
10.523081,76.210762,Round South,15,Good,Yes,Rare,Medium,Morning
10.522025,76.217252,Round South,10,Poor,Yes,Frequent,High,Afternoon
10.52327,76.211703,Round South,13,Moderate,Yes,Occasional,High,Evening
10.518212,76.215086,Round South,12,Moderate,Yes,Rare,High,Morning
10.525522,76.215004,Round South,16,Moderate,No,Rare,High,Evening
10.521666,76.214765,Round South,10,Poor,No,Occasional,Low,Afternoon
10.525532,76.213489,Round South,13,Moderate,No,Rare,High,Evening
10.51857,76.212952,Round South,12,Poor,No,Rare,High,Morning
10.524759,76.210586,Round South,12,Poor,No,Rare,High,Evening
10.518945,76.215974,Round South,14,Moderate,No,Occasional,High,Evening
10.523032,76.21742,Round South,14,Moderate,No,Occasional,High,Evening
10.520256,76.21182,Round South,14,Poor,Yes,Frequent,Medium,Evening
10.524005,76.216855,Round South,13,Poor,No,Occasional,Medium,Night
10.520976,76.216611,Round South,13,Poor,No,Rare,Medium,Morning
10.520726,76.217846,Round South,12,Poor,No,Occasional,Medium,Evening
10.524007,76.216436,Round South,15,Poor,Yes,Rare,Medium,Morning
10.518825,76.21762,Round South,15,Moderate,No,Rare,High,Afternoon
10.52056,76.217564,Round South,13,Poor,No,Rare,High,Morning
10.521114,76.210487,Round South,13,Poor,No,Rare,High,Evening
10.525605,76.214988,Round South,12,Poor,No,Rare,Medium,Evening
10.523055,76.213988,Round South,11,Poor,No,Frequent,High,Afternoon
10.52338,76.216419,Round South,11,Poor,No,Occasional,High,Afternoon
10.524333,76.216717,Round South,13,Good,No,Rare,Medium,Evening
10.51846,76.214796,Round South,11,Poor,No,Rare,High,Evening
10.521532,76.217502,Round South,11,Moderate,Yes,Frequent,High,Evening
10.519144,76.216492,Round South,12,Moderate,No,Rare,Medium,Morning
10.522946,76.211209,Round South,13,Poor,No,Rare,Low,Morning
10.518582,76.216975,Round South,12,Poor,No,Rare,Medium,Night
10.52365,76.211051,Round South,10,Poor,Yes,Rare,Medium,Evening
10.524502,76.217978,Round South,10,Moderate,No,Frequent,Medium,Afternoon
10.525888,76.216427,Round South,11,Poor,No,Occasional,High,Night
10.524217,76.214867,Round South,12,Moderate,No,Rare,Medium,Afternoon
10.521394,76.217651,Round South,13,Poor,No,Occasional,High,Morning
10.518091,76.214149,Round South,11,Poor,No,Occasional,High,Morning
10.51845,76.211351,Round South,13,Good,No,Occasional,High,Afternoon
10.523968,76.215067,Round South,11,Poor,No,Occasional,High,Afternoon
10.525697,76.213399,Round South,14,Poor,Yes,Rare,High,Afternoon
10.519789,76.218106,Round South,12,Poor,No,Rare,Medium,Evening
10.518097,76.218159,Round South,13,Poor,No,Rare,Low,Evening
10.51859,76.214831,Round South,13,Moderate,No,Rare,Medium,Night
10.525754,76.214585,Round South,15,Good,No,Rare,Low,Morning
10.521636,76.21542,Round South,14,Poor,No,Frequent,Medium,Afternoon
10.522675,76.217609,Round South,17,Moderate,No,Rare,Medium,Night
10.520219,76.211905,Round South,11,Poor,Yes,Rare,Medium,Evening
10.52171,76.213227,Round South,11,Poor,No,Occasional,High,Night
10.525795,76.21829,Round South,13,Poor,No,Rare,High,Night
10.523585,76.214689,Round South,14,Moderate,No,Rare,Medium,Morning
10.523478,76.211701,Round South,12,Moderate,No,Rare,Low,Evening
10.525287,76.21698,Round South,10,Poor,No,Rare,High,Evening
10.525462,76.217329,Round South,16,Poor,No,Occasional,High,Morning
10.518362,76.210611,Round South,15,Poor,No,Rare,High,Evening
10.525898,76.211603,Round South,12,Poor,Yes,Occasional,High,Morning
10.522753,76.213447,Round South,12,Poor,No,Occasional,High,Evening
10.521319,76.212587,Round South,15,Poor,Yes,Rare,High,Afternoon
10.518451,76.217318,Round South,13,Good,No,Occasional,Medium,Afternoon
10.524152,76.217958,Round South,13,Moderate,No,Rare,High,Evening
10.524797,76.212379,Round South,11,Good,No,Rare,Medium,Night
10.525632,76.215249,Round South,12,Poor,No,Rare,High,Night
10.519829,76.215774,Round South,10,Poor,No,Rare,High,Night
10.518908,76.215773,Round South,15,Poor,No,Occasional,High,Night
10.522162,76.216579,Round South,15,Good,Yes,Frequent,Medium,Night
10.522415,76.214888,Round South,13,Good,No,Rare,High,Morning
10.525013,76.213628,Round South,14,Poor,No,Rare,High,Afternoon
10.523633,76.212104,Round South,15,Poor,No,Occasional,High,Evening
10.519091,76.210516,Round South,15,Good,No,Frequent,High,Night
10.521138,76.2139,Round South,10,Moderate,Yes,Occasional,Medium,Morning
10.525233,76.213186,Round South,15,Moderate,No,Rare,High,Afternoon
10.521172,76.215377,Round South,13,Poor,No,Frequent,Low,Morning
10.524899,76.217996,Round South,10,Poor,No,Rare,High,Morning
10.521673,76.21824,Round South,13,Poor,Yes,Frequent,High,Afternoon
10.521941,76.21303,Round South,10,Poor,No,Rare,High,Afternoon
10.518607,76.211431,Round South,14,Poor,Yes,Occasional,High,Night
10.519024,76.211615,Round South,13,Poor,No,Frequent,Medium,Afternoon
10.519455,76.213165,Round South,11,Moderate,No,Rare,High,Night
10.525174,76.214192,Round South,11,Poor,No,Rare,Medium,Night
10.519538,76.210727,Round South,14,Poor,No,Rare,Low,Evening
10.519351,76.212629,Round South,13,Good,No,Occasional,High,Morning
10.519651,76.213314,Round South,11,Moderate,No,Occasional,High,Afternoon
10.522027,76.215923,Round South,11,Moderate,No,Occasional,Medium,Afternoon
10.524989,76.217767,Round South,13,Poor,No,Rare,High,Night
10.518489,76.212615,Round South,14,Moderate,Yes,Rare,High,Evening
10.519476,76.212075,Round South,14,Poor,No,Occasional,Medium,Evening
10.520964,76.214276,Round South,10,Good,No,Frequent,High,Night
10.5217,76.21638,Round South,15,Good,Yes,Frequent,High,Night
10.518293,76.212419,Round South,14,Good,No,Rare,High,Night
10.522093,76.214657,Round South,13,Poor,Yes,Rare,High,Morning
10.530057,76.213979,Round North,10,Moderate,No,Frequent,Low,Evening
10.531354,76.213418,Round North,13,Poor,No,Frequent,Medium,Afternoon
10.529361,76.212977,Round North,11,Moderate,No,Rare,High,Afternoon
10.530158,76.217524,Round North,11,Poor,Yes,Rare,High,Night
10.533949,76.215833,Round North,13,Poor,No,Rare,High,Morning
10.529895,76.214697,Round North,15,Moderate,No,Frequent,High,Night
10.533895,76.216364,Round North,11,Moderate,No,Rare,High,Night
10.53147,76.213305,Round North,12,Poor,No,Frequent,Low,Afternoon
10.534367,76.214966,Round North,10,Poor,No,Rare,Medium,Evening
10.530014,76.211623,Round North,14,Good,No,Occasional,Low,Afternoon
10.531168,76.211685,Round North,11,Moderate,No,Rare,High,Afternoon
10.530587,76.217574,Round North,11,Good,No,Rare,High,Afternoon
10.529842,76.214596,Round North,13,Moderate,No,Rare,High,Afternoon
10.530096,76.213583,Round North,12,Poor,No,Frequent,High,Morning
10.536956,76.217324,Round North,12,Poor,No,Rare,Medium,Afternoon
10.530567,76.215749,Round North,14,Moderate,Yes,Rare,Low,Afternoon
10.536635,76.214854,Round North,10,Poor,No,Rare,High,Night
10.535356,76.211896,Round North,14,Poor,Yes,Occasional,High,Morning
10.531789,76.213803,Round North,10,Poor,No,Rare,High,Evening
10.530119,76.215285,Round North,13,Poor,Yes,Occasional,High,Night
10.531509,76.21505,Round North,12,Poor,Yes,Rare,High,Morning
10.533461,76.210815,Round North,10,Poor,No,Rare,High,Evening
10.531893,76.211475,Round North,14,Poor,No,Frequent,High,Night
10.531237,76.215852,Round North,12,Poor,No,Rare,High,Afternoon
10.535282,76.215165,Round North,8,Poor,Yes,Rare,High,Night
10.531991,76.217836,Round North,11,Good,No,Rare,Low,Evening
10.535845,76.21812,Round North,13,Poor,Yes,Occasional,High,Morning
10.536707,76.21185,Round North,11,Moderate,No,Rare,Low,Morning
10.529732,76.216329,Round North,15,Good,No,Rare,High,Evening
10.530318,76.216762,Round North,13,Good,No,Rare,High,Morning
10.530813,76.211709,Round North,13,Poor,No,Occasional,Medium,Afternoon
10.534522,76.214585,Round North,12,Poor,No,Rare,Medium,Evening
10.532071,76.217418,Round North,15,Moderate,No,Occasional,Low,Morning
10.532713,76.213416,Round North,12,Moderate,No,Rare,Low,Evening
10.532901,76.212811,Round North,13,Moderate,No,Rare,High,Afternoon
10.531058,76.217597,Round North,16,Poor,No,Rare,High,Morning
10.532271,76.214748,Round North,13,Poor,No,Occasional,High,Afternoon
10.530135,76.217919,Round North,14,Good,Yes,Occasional,Low,Morning
10.534222,76.213079,Round North,13,Poor,No,Rare,High,Morning
10.534161,76.214668,Round North,12,Poor,No,Rare,Low,Evening
10.536351,76.216709,Round North,12,Poor,No,Rare,High,Night
10.531188,76.216352,Round North,11,Poor,No,Rare,Low,Morning
10.529468,76.214959,Round North,13,Poor,Yes,Rare,Medium,Evening
10.531937,76.21697,Round North,13,Poor,No,Rare,High,Afternoon
10.530085,76.217172,Round North,12,Poor,No,Rare,Low,Evening
10.535578,76.211599,Round North,11,Good,No,Occasional,High,Morning
10.531034,76.216178,Round North,14,Poor,No,Frequent,Medium,Night
10.534752,76.214742,Round North,15,Moderate,No,Rare,High,Night
10.531214,76.213166,Round North,9,Poor,No,Rare,High,Afternoon
10.532896,76.217978,Round North,15,Poor,No,Rare,High,Evening
10.530427,76.21509,Round North,17,Good,No,Occasional,High,Afternoon
10.529345,76.217377,Round North,13,Poor,Yes,Rare,High,Afternoon
10.536657,76.214921,Round North,13,Poor,No,Rare,High,Morning
10.534858,76.21162,Round North,13,Moderate,No,Occasional,High,Night
10.53381,76.215254,Round North,15,Good,No,Rare,Low,Evening
10.536675,76.217805,Round North,12,Moderate,No,Occasional,Medium,Night
10.532807,76.211306,Round North,13,Poor,No,Rare,High,Morning
10.53393,76.213592,Round North,15,Moderate,No,Rare,High,Morning
10.529638,76.213082,Round North,11,Poor,No,Occasional,High,Night
10.533499,76.217759,Round North,10,Good,No,Rare,High,Night
10.531971,76.213176,Round North,12,Good,No,Occasional,High,Afternoon
10.530997,76.21402,Round North,16,Poor,Yes,Rare,High,Morning
10.530327,76.211811,Round North,8,Poor,No,Rare,High,Night
10.536519,76.213299,Round North,12,Poor,No,Occasional,High,Night
10.533845,76.215458,Round North,12,Poor,Yes,Occasional,Medium,Evening
10.529883,76.218375,Round North,11,Poor,No,Rare,Medium,Afternoon
10.533218,76.215163,Round North,13,Poor,No,Rare,High,Night
10.530879,76.217584,Round North,13,Moderate,No,Occasional,High,Evening
10.530841,76.211926,Round North,13,Moderate,No,Rare,Medium,Morning
10.533719,76.210926,Round North,12,Good,No,Occasional,Medium,Afternoon
10.535404,76.214026,Round North,8,Poor,No,Occasional,High,Afternoon
10.532406,76.214877,Round North,15,Moderate,No,Occasional,High,Morning
10.530442,76.211855,Round North,10,Poor,No,Occasional,High,Afternoon
10.534352,76.21367,Round North,11,Moderate,Yes,Rare,High,Afternoon
10.529403,76.211649,Round North,14,Moderate,No,Occasional,Medium,Night
10.529417,76.212176,Round North,15,Poor,No,Rare,High,Afternoon
10.531049,76.215775,Round North,12,Moderate,No,Rare,High,Evening
10.534422,76.212305,Round North,13,Poor,No,Rare,Medium,Night
10.529996,76.212345,Round North,14,Good,Yes,Rare,Medium,Afternoon
10.535842,76.213577,Round North,13,Moderate,No,Rare,Low,Morning
10.534545,76.21204,Round North,14,Poor,No,Rare,High,Afternoon
10.529304,76.211084,Round North,12,Moderate,No,Frequent,Medium,Afternoon
10.530863,76.210612,Round North,13,Poor,Yes,Frequent,Medium,Night
10.532571,76.217541,Round North,10,Poor,Yes,Occasional,Medium,Morning
10.53574,76.213135,Round North,11,Poor,No,Occasional,High,Afternoon
10.533922,76.212545,Round North,10,Moderate,No,Occasional,High,Afternoon
10.534193,76.213675,Round North,9,Poor,No,Rare,High,Morning
10.531556,76.217988,Round North,16,Poor,No,Rare,Low,Night
10.535309,76.211521,Round North,12,Moderate,No,Rare,High,Night
10.536356,76.216799,Round North,15,Moderate,Yes,Rare,Medium,Night
10.527002,76.21718,Round East,13,Poor,Yes,Rare,High,Afternoon
10.528668,76.219063,Round East,9,Moderate,Yes,Frequent,Low,Afternoon
10.524715,76.223679,Round East,12,Poor,No,Occasional,High,Morning
10.524973,76.219178,Round East,13,Moderate,No,Rare,Medium,Evening
10.523747,76.224314,Round East,13,Moderate,No,Rare,Low,Morning
10.525792,76.221433,Round East,11,Moderate,Yes,Occasional,High,Evening
10.528811,76.223638,Round East,13,Moderate,No,Rare,High,Night
10.528404,76.22232,Round East,14,Poor,Yes,Occasional,High,Night
10.525003,76.224315,Round East,9,Good,No,Frequent,High,Evening
10.527751,76.217376,Round East,10,Poor,No,Rare,High,Evening
10.52493,76.222904,Round East,13,Good,No,Rare,Medium,Morning
10.525563,76.220114,Round East,11,Moderate,No,Rare,High,Night
10.52591,76.219845,Round East,11,Moderate,No,Occasional,Medium,Night
10.528131,76.220808,Round East,14,Moderate,Yes,Occasional,High,Morning
10.528909,76.224495,Round East,11,Poor,Yes,Occasional,Medium,Evening
10.523849,76.219098,Round East,14,Poor,No,Rare,High,Night
10.528361,76.217411,Round East,17,Moderate,No,Occasional,High,Evening
10.526274,76.223167,Round East,12,Poor,No,Rare,High,Morning
10.524453,76.217601,Round East,12,Good,Yes,Occasional,High,Afternoon
10.529107,76.220479,Round East,16,Poor,Yes,Occasional,Medium,Morning
10.525571,76.223553,Round East,14,Moderate,No,Frequent,Medium,Morning
10.525777,76.221722,Round East,14,Moderate,No,Rare,High,Morning
10.526488,76.217733,Round East,12,Good,Yes,Rare,High,Afternoon
10.525081,76.221335,Round East,14,Poor,Yes,Rare,High,Morning
10.530584,76.222858,Round East,13,Moderate,No,Rare,Low,Evening
10.529138,76.223794,Round East,14,Poor,No,Rare,Low,Morning
10.525597,76.220915,Round East,13,Moderate,No,Rare,Medium,Evening
10.525045,76.221544,Round East,13,Good,No,Frequent,High,Evening
10.530924,76.217272,Round East,10,Poor,Yes,Rare,Low,Evening
10.530995,76.224768,Round East,14,Poor,No,Rare,High,Night
10.531154,76.220794,Round East,12,Moderate,Yes,Rare,High,Afternoon
10.526153,76.223631,Round East,12,Poor,No,Occasional,Low,Night
10.523896,76.22177,Round East,12,Moderate,No,Occasional,Medium,Evening
10.524216,76.22257,Round East,12,Moderate,Yes,Rare,High,Afternoon
10.526319,76.222798,Round East,12,Poor,No,Rare,High,Morning
10.527916,76.223326,Round East,12,Poor,No,Frequent,High,Afternoon
10.52615,76.222007,Round East,13,Poor,No,Rare,High,Evening
10.525464,76.217195,Round East,14,Poor,Yes,Frequent,Low,Morning
10.530561,76.21717,Round East,13,Moderate,No,Occasional,Low,Evening
10.531113,76.22339,Round East,14,Good,No,Rare,Medium,Morning
10.531583,76.219806,Round East,11,Moderate,Yes,Frequent,High,Night
10.527439,76.22202,Round East,15,Poor,No,Occasional,Medium,Evening
10.530589,76.224873,Round East,12,Moderate,Yes,Rare,High,Morning
10.526971,76.222901,Round East,15,Moderate,No,Occasional,High,Evening
10.52551,76.217884,Round East,10,Good,Yes,Rare,High,Evening
10.52597,76.218869,Round East,11,Poor,Yes,Rare,Low,Evening
10.523937,76.217143,Round East,12,Poor,No,Occasional,Medium,Morning
10.526675,76.222437,Round East,13,Moderate,No,Occasional,Medium,Afternoon
10.525346,76.2246,Round East,14,Poor,No,Rare,Medium,Afternoon
10.531158,76.220739,Round East,12,Poor,No,Rare,Medium,Morning
10.528507,76.218336,Round East,13,Poor,No,Occasional,High,Evening
10.528462,76.221102,Round East,13,Poor,Yes,Rare,Low,Night
10.525445,76.218412,Round East,11,Moderate,No,Rare,Medium,Evening
10.529837,76.219801,Round East,11,Poor,No,Rare,High,Afternoon
10.524063,76.224753,Round East,15,Moderate,No,Occasional,Low,Evening
10.529168,76.218231,Round East,11,Poor,No,Rare,High,Morning
10.530127,76.218796,Round East,13,Poor,No,Rare,Low,Afternoon
10.528344,76.221641,Round East,10,Moderate,No,Rare,Low,Afternoon
10.524332,76.22402,Round East,11,Poor,No,Rare,High,Afternoon
10.53071,76.224645,Round East,12,Moderate,No,Rare,High,Evening
10.530497,76.223476,Round East,14,Poor,Yes,Rare,Low,Evening
10.524296,76.220268,Round East,16,Moderate,No,Occasional,High,Night
10.526582,76.219078,Round East,12,Moderate,Yes,Occasional,High,Morning
10.524248,76.218761,Round East,16,Moderate,No,Rare,High,Afternoon
10.529066,76.217609,Round East,12,Poor,No,Rare,High,Night
10.527445,76.221739,Round East,15,Poor,No,Rare,Medium,Morning
10.530197,76.219782,Round East,14,Poor,No,Frequent,High,Afternoon
10.525736,76.224029,Round East,16,Moderate,No,Occasional,High,Morning
10.529979,76.222268,Round East,14,Poor,No,Rare,High,Night
10.52918,76.222441,Round East,13,Poor,No,Frequent,High,Evening
10.528549,76.223022,Round East,12,Moderate,Yes,Rare,High,Evening
10.526281,76.222948,Round East,13,Good,No,Occasional,High,Afternoon
10.524886,76.223544,Round East,12,Poor,No,Frequent,High,Night
10.523651,76.219296,Round East,15,Poor,No,Rare,High,Evening
10.528535,76.224849,Round East,10,Moderate,No,Occasional,Medium,Night
10.528672,76.22132,Round East,14,Good,Yes,Frequent,High,Evening
10.529839,76.217856,Round East,13,Poor,No,Rare,High,Night
10.531304,76.219735,Round East,15,Poor,No,Occasional,Medium,Evening
10.528661,76.224456,Round East,12,Moderate,Yes,Rare,High,Afternoon
10.526008,76.222665,Round East,13,Moderate,Yes,Frequent,High,Morning
10.524139,76.221657,Round East,15,Poor,No,Frequent,High,Afternoon
10.523966,76.223972,Round East,10,Moderate,No,Rare,Low,Afternoon
10.531388,76.224751,Round East,11,Moderate,Yes,Occasional,High,Morning
10.529666,76.217197,Round East,13,Good,Yes,Frequent,Medium,Morning
10.523777,76.219589,Round East,15,Good,No,Rare,High,Morning
10.529066,76.220567,Round East,12,Good,Yes,Occasional,Low,Evening
10.525789,76.224977,Round East,10,Poor,No,Rare,High,Evening
10.524909,76.223358,Round East,8,Good,No,Rare,Low,Afternoon
10.529149,76.218766,Round East,13,Moderate,No,Occasional,Low,Afternoon
10.528836,76.219186,Round East,11,Moderate,No,Occasional,Medium,Evening
10.531207,76.205008,Round West,13,Moderate,No,Rare,High,Night
10.526958,76.208908,Round West,12,Good,No,Frequent,Low,Afternoon
10.526781,76.205994,Round West,12,Poor,No,Frequent,Medium,Night
10.530753,76.20564,Round West,13,Poor,No,Rare,High,Morning
10.525305,76.204049,Round West,10,Poor,No,Rare,High,Night
10.530515,76.207586,Round West,15,Moderate,No,Frequent,Medium,Evening
10.531346,76.205284,Round West,13,Poor,Yes,Rare,High,Afternoon
10.529767,76.210558,Round West,13,Poor,No,Rare,High,Evening
10.529688,76.20881,Round West,12,Moderate,No,Occasional,High,Afternoon
10.529972,76.207652,Round West,13,Poor,No,Frequent,Low,Night
10.524538,76.204801,Round West,11,Moderate,Yes,Rare,High,Afternoon
10.525204,76.207733,Round West,15,Moderate,No,Rare,High,Morning
10.524114,76.208456,Round West,14,Moderate,No,Rare,Medium,Night
10.526083,76.207442,Round West,11,Moderate,No,Rare,Low,Morning
10.523693,76.20438,Round West,11,Moderate,No,Occasional,Low,Evening
10.5284,76.206133,Round West,8,Moderate,No,Rare,High,Evening
10.52916,76.210681,Round West,10,Poor,No,Occasional,High,Night
10.525536,76.211693,Round West,12,Poor,No,Rare,High,Night
10.52474,76.207791,Round West,15,Poor,No,Occasional,High,Night
10.528077,76.203878,Round West,14,Poor,No,Rare,Low,Evening
10.526212,76.207942,Round West,12,Good,No,Frequent,High,Afternoon
10.523866,76.204429,Round West,11,Poor,No,Rare,Medium,Night
10.526775,76.204862,Round West,15,Poor,No,Occasional,Low,Evening
10.530005,76.205401,Round West,13,Moderate,No,Frequent,Medium,Night
10.52494,76.204637,Round West,15,Poor,Yes,Occasional,High,Morning
10.523853,76.21129,Round West,14,Poor,Yes,Rare,High,Morning
10.524016,76.20813,Round West,13,Poor,No,Rare,High,Morning
10.529313,76.210214,Round West,13,Moderate,No,Occasional,Medium,Evening
10.526316,76.210319,Round West,15,Good,No,Rare,Medium,Afternoon
10.527219,76.208949,Round West,12,Moderate,No,Rare,High,Afternoon
10.527811,76.209653,Round West,11,Moderate,No,Rare,Low,Night
10.530574,76.205554,Round West,11,Poor,No,Rare,Medium,Night
10.531407,76.206495,Round West,13,Moderate,No,Occasional,High,Afternoon
10.52887,76.207786,Round West,11,Poor,Yes,Rare,Low,Afternoon
10.528043,76.209554,Round West,12,Good,Yes,Occasional,Medium,Night
10.525196,76.209242,Round West,12,Poor,No,Rare,Low,Evening
10.524178,76.204045,Round West,12,Poor,No,Rare,High,Afternoon
10.530546,76.209617,Round West,9,Poor,Yes,Occasional,High,Morning
10.529542,76.207204,Round West,10,Good,No,Occasional,Medium,Night
10.531501,76.204121,Round West,10,Moderate,No,Rare,High,Afternoon
